player_id,positions,name,playoffs,playoffs_won,world_series,world_series_won,years_played,span
8064,Pitcher,Gary Ignasiak,,,,,1,1973-1973
8065,Pitcher,Mike Ignasiak,,,,,4,1991-1995
8066,Second Baseman,Tadahito Iguchi,2005,2005,2005,2005,4,2005-2008
8067,Pitcher,Blaise Ilsley,,,,,1,1994-1994
8068,Pitcher,Doc Imlay,,,,,1,1913-1913
8069,Leftfielder,Pete Incaviglia,1993|1996,1993,1993,,12,1986-1998
8070,Outfielder,Ender Inciarte,,,,,2,2014-2015
8071,Pinch Runner|Third Baseman|Shortstop,Alexis Infante,,,,,4,1987-1990
8072,Pitcher,Greg Infante,,,,,1,2010-2010
8073,Second Baseman|Shortstop|Third Baseman,Omar Infante,2006|2012|2013|2014,2006|2012|2014,2006|2012|2014,,14,2002-2015
8074,Third Baseman|Catcher,Brandon Inge,2006|2011,2006,2006,,13,2001-2013
8075,Pitcher,Bob Ingersoll,,,,,1,1914-1914
8076,Third Baseman|Leftfielder|First Baseman,Scotty Ingerton,,,,,1,1911-1911
8077,Second Baseman|Pinch Hitter|Outfielder,Joe Inglett,,,,,6,2006-2011
8078,Catcher,Charlie Ingraham,,,,,1,1883-1883
8079,Second Baseman|Pinch Hitter|Third Baseman,Garey Ingram,,,,,3,1994-1997
8080,Pinch Runner,Mel Ingram,,,,,1,1929-1929
8081,Leftfielder,Riccardo Ingram,,,,,2,1994-1995
8082,Pitcher,Bert Inks,,,,,5,1891-1896
8083,Pitcher,Jeff Innis,,,,,7,1987-1993
8084,Outfielder|Pinch Hitter|First Baseman,Dane Iorg,1984|1985,1985,1982|1985,1982|1985,10,1977-1986
8085,Third Baseman|Second Baseman,Garth Iorg,1985,,,,9,1978-1987
8086,Centerfielder,Happy Iott,,,,,1,1903-1903
8087,Pitcher,Hooks Iott,,,,,2,1941-1947
8088,Pitcher,Hideki Irabu,1999,1999,,,6,1997-2002
8089,Second Baseman|Shortstop,Hal Irelan,,,,,1,1914-1914
8090,First Baseman|Pinch Runner|Second Baseman,Tim Ireland,,,,,2,1981-1982
8091,Pinch Hitter|Second Baseman|Outfielder,Hernan Iribarren,,,,,2,2008-2009
8092,Leftfielder|First Baseman,Monte Irvin,,,1951|1954,1954,8,1949-1956
8093,Pitcher,Daryl Irvine,,,,,3,1990-1992
8094,Shortstop|Third Baseman,Arthur Irwin,,,1884,1884,13,1880-1894
8095,Pitcher,Bill Irwin,,,,,1,1886-1886
8096,Third Baseman|Shortstop,Charlie Irwin,,,,,10,1893-1902
8097,Third Baseman,Ed Irwin,,,,,1,1912-1912
8098,Third Baseman|Shortstop|Outfielder,John Irwin,,,,,8,1882-1891
8099,Pitcher,Phil Irwin,,,,,2,2013-2014
8100,Shortstop,Tommy Irwin,,,,,1,1938-1938
8101,Pinch Runner,Walt Irwin,,,,,1,1921-1921
8102,Rightfielder|Pinch Runner,Orlando Isales,,,,,1,1980-1980
8103,First Baseman|Second Baseman|Outfielder,Frank Isbell,,,1906,1906,10,1898-1909
8104,Pitcher,Kazuhisa Ishii,,,,,4,2002-2005
8105,First Baseman|Pinch Hitter,Travis Ishikawa,2010|2014,2010|2014,2010|2014,2010|2014,8,2006-2015
8106,Pitcher,Jason Isringhausen,2002|2004|2005,2004,2004,,16,1995-2012
8107,First Baseman|Third Baseman|Leftfielder,Mike Ivie,,,,,11,1971-1983
8108,Pitcher,Hisashi Iwakuma,,,,,4,2012-2015
8109,Second Baseman|Third Baseman,Akinori Iwamura,2008,2008,2008,,4,2007-2010
8110,Catcher,Hank Izquierdo,,,,,1,1967-1967
8111,Pitcher,Hansel Izquierdo,,,,,1,2002-2002
8112,Shortstop|Second Baseman|Third Baseman,Cesar Izturis,,,,,13,2001-2013
8113,Third Baseman|Second Baseman|Shortstop,Maicer Izturis,2005|2009,,,,11,2004-2014
8056,Catcher,Chris Iannetta,,,,,10,2006-2015
8057,Leftfielder|First Baseman,Raul Ibanez,2000|2009|2010|2012,2009,2009,,19,1996-2014
8058,Pitcher,Edgar Ibarra,,,,,1,2015-2015
8059,Pitcher,Ham Iburg,,,,,1,1902-1902
8060,Pitcher,Ryota Igarashi,,,,,3,2010-2012
8061,Pitcher,Kei Igawa,,,,,2,2007-2008
8062,Shortstop|Third Baseman,Jose Iglesias,2013,,,,4,2011-2015
8063,Pitcher,Raisel Iglesias,,,,,1,2015-2015
